member,start,end,duration
719,1:17:04.319,1:17:11.927,0:00:07.607
720,1:17:05.220,1:17:31.713,0:00:26.493
721,1:17:12.260,1:17:12.928,0:00:00.667
722,1:17:13.895,1:17:14.696,0:00:00.800
723,1:17:15.097,1:17:20.802,0:00:05.705
724,1:17:23.672,1:17:24.206,0:00:00.533
725,1:17:24.506,1:17:29.211,0:00:04.704
726,1:17:32.681,1:17:52.034,0:00:19.352
727,1:17:33.749,1:17:53.001,0:00:19.252
729,1:17:52.768,1:17:55.137,0:00:02.369
730,1:17:54.036,1:17:55.971,0:00:01.935
731,1:17:56.371,1:18:11.920,0:00:15.548
732,1:18:04.780,1:18:06.515,0:00:01.735
733,1:18:07.082,1:18:37.813,0:00:30.730
734,1:18:12.721,1:18:12.788,0:00:00.066
735,1:18:12.721,1:18:14.456,0:00:01.735
736,1:18:22.397,1:18:36.478,0:00:14.080
737,1:18:26.635,1:18:33.675,0:00:07.040
738,1:18:29.604,1:18:30.639,0:00:01.034
739,1:18:34.209,1:18:35.077,0:00:00.867
740,1:18:37.179,1:18:38.814,0:00:01.634
742,1:18:38.847,1:18:40.282,0:00:01.434
743,1:18:43.652,1:18:59.101,0:00:15.448
745,1:18:48.123,1:18:48.657,0:00:00.533
746,1:18:48.924,1:18:53.228,0:00:04.304
747,1:18:55.497,1:19:13.515,0:00:18.018
748,1:18:59.801,1:19:01.503,0:00:01.701
749,1:19:14.449,1:19:16.485,0:00:02.035
750,1:20:18.013,1:20:32.594,0:00:14.581
751,1:20:23.585,1:20:39.534,0:00:15.949
752,1:20:33.195,1:20:34.229,0:00:01.034
753,1:20:40.468,1:20:41.102,0:00:00.633
754,1:20:40.602,1:20:41.770,0:00:01.167
755,1:20:41.469,1:20:46.975,0:00:05.505
758,1:20:56.218,1:21:14.369,0:00:18.151
759,1:20:57.085,1:21:15.804,0:00:18.718
760,1:21:03.258,1:21:21.343,0:00:18.084
